Title,Link,Keywords,Resumen,Importancia
Mice in Bion-M 1 space mission: training and selection,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136787/,"Bion-M 1, biosatellite, space biomedical research, microgravity, mice, C57BL/6N, physiological adaptation, in vivo studies, in vitro studies, training program, ground control, post-flight, nervous system, cardiovascular system, muscle, bone, telemetry, specific pathogens, molecular analysis, cellular analysis, behavior","Russia resumed its biomedical space research program in 2013 with the successful 30-day mission of the Bion-M 1 biosatellite, following a 16-year hiatus. The objective was to investigate the cellular and molecular mechanisms of physiological systems' adaptation to prolonged microgravity and their post-flight readaptation using male C57BL/6N mice. The project combined in vivo measurements (behavior, blood pressure) during and after flight with extensive in vitro studies of various tissues. A rigorous mouse training and selection program was implemented, including adaptation to group housing and specific diets. The mice returned in good condition and showed signs of maladaptation to Earth's gravity, demonstrating the effectiveness of the training program and the feasibility of using male mice in future space-based biomedical research.",8
"Microgravity induces pelvic bone loss through osteoclastic activity, osteocytic osteolysis, and osteoblastic cell cycle inhibition by CDKN1a/p21",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3630201/,"Microgravity, bone loss, spaceflight, osteocytes, osteoclasts, osteoblasts, osteocytic osteolysis, bone remodeling, cell cycle arrest, CDKN1a/p21, MMPs, p53, mice, pelvis, ischium, µCT, nanoCT, lacuna enlargement, bone volume fraction, bone thickness, mechanical unloading, osteogenesis","This study in mice exposed to microgravity for 15 days reveals rapid and significant bone loss in the pelvis, including a 6.29% reduction in bone volume fraction and 11.91% reduction in thickness, in addition to a 170% increase in the bone surface area covered by osteoclasts. Beyond the known osteoclastic activity, the findings demonstrate microgravity-induced osteocytic osteolysis, evidenced by an increase in the area (+17%) and perimeter (+14%) of bone lacunae and the overexpression of MMP10 in osteocytes. In parallel, elevated CDKN1a/p21 expression in osteoblasts suggests cell cycle arrest during osteogenesis, which compromises bone regenerative capacity. These newly identified pathways (osteocytic osteolysis and osteogenic cell cycle arrest) dramatically expand our understanding of bone degeneration in space, indicating that the problem is more complex than osteoclastic resorption alone and is crucial for the development of effective countermeasures for long-duration space missions.",9
Stem Cell Health and Tissue Regeneration in Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11988870/,"Microgravity, human health, immune system, cancer biology, cardiomyocytes, tissue regeneration, stem cells, space medicine, astronaut health, biological processes, apoptosis, multicellular spheroids, cellular metabolism, organ homeostasis","Microgravity profoundly impacts biological systems, bearing dual significance for space missions and terrestrial health. It profoundly compromises the immune system by disrupting T cell activation and macrophage function, leading to increased astronaut susceptibility to infections and underscoring the need for protective measures in prolonged spaceflight. Concurrently, microgravity surprisingly enhances tissue regeneration, particularly improving stem cell differentiation into cardiac cells with advanced maturation and functional improvements, which offers promising therapeutic avenues for heart conditions like myocardial infarctions. In oncology, microgravity promotes multicellular spheroid formation in cancer cells, creating valuable models for research, and uniquely alters cancer stem cell properties, potentially increasing their susceptibility to treatment. These discoveries highlight microgravity's potential to advance regenerative medicine, oncology, and immunological interventions, crucial for both astronaut well-being and transformative biomedical applications on Earth.",9
Microgravity Reduces the Differentiation and Regenerative Potential of Embryonic Stem Cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7998608/,"adipose-derived stem cell, microgravity culture, polystyrene microsphere, collagen microsphere, multilineage-differentiating stress-enduring cell, stemness, cell proliferation, cell differentiation, SSEA-3","novel dynamic microgravity culture method using microspheres significantly expands highly functional adipose-derived mesenchymal stem cells (hASCs) by quadrupling the proportion of SSEA-3(+) cells, which exhibit marked pluripotency, increased expression of stemness markers, and enhanced multilineage proliferation and differentiation capabilities. This represents a critical advancement for space missions by enabling the generation of more robust and effective regenerative cell therapies, facilitating autonomous repair of radiation injury or damage in challenging environments, and overcoming current limitations in stem cell viability and potency for long-duration mission medical support.",8
Microgravity validation of a novel system for RNA isolation and multiplex quantitative real time PCR analysis of gene expression on the International Space Station,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5587110/,"WetLab-2, microgravity, ISS, molecular biology, gene expression analysis, on-orbit, RT-qPCR, RNA purification, biological samples, Escherichia coli, mouse liver tissue, thermal cycler, lyophilized reagents, Sample Preparation Module, real-time analysis, end-to-end experimentation, gas bubbles, Ct values, PCR efficiencies, disease diagnostics, environmental monitoring","WetLab-2 successfully validated a novel, end-to-end molecular biology system on the ISS, demonstrating real-time RNA isolation and quantitative gene expression analysis (RT-qPCR) from *E. coli* and mouse tissue with results comparable to Earth controls and rapid data transmission. A key finding included the successful on-orbit mitigation of gas bubble formation during thermal cycling, highlighting system adaptability. This breakthrough establishes critical autonomous molecular biology capabilities for future deep space missions, enabling immediate disease diagnostics, environmental monitoring, and research applications such as optimizing plant growth or assessing astronaut health, thereby eliminating the delays and sample degradation associated with Earth-return analysis and significantly advancing scientific discovery and operational independence in space.",9
Spaceflight Modulates the Expression of Key Oxidative Stress and Cell Cycle Related Genes in Heart,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8396460/,"spaceflight, microgravity, heart, gene expression, oxidative stress, Nfe2l2, NADPH oxidase, Ptgs2, Cdkn1a, Myc, cardiovascular changes, cardiac deconditioning, Trp53, cell cycle, apoptosis, redox balance, cardiac dysfunction, inflammatory response, mice","Spaceflight induces substantial changes in cardiac gene expression, revealing molecular pathways contributing to cardiovascular deconditioning. Key findings include a persistent increase in oxidative stress, evidenced by downregulated Nfe2l2 (a critical oxidative defense regulator) and upregulated Nox1, alongside altered cell cycle regulation with increased Cdkn1a and Myc, and reduced inflammatory responses. Computational analysis further linked these specific molecular alterations to potential cardiovascular pathologies like hypertension, atherosclerosis, and myocardial infarction. These results underscore that long-duration space missions pose a significant risk of cardiac dysfunction driven by these molecular-level stress responses, necessitating targeted countermeasures and advanced monitoring strategies to ensure astronaut cardiovascular health and mission success.",8
Dose- and Ion-Dependent Effects in the Oxidative Stress Response to Space-Like Radiation Exposure in the Skeletal System,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5666799/,"Ionizing radiation, space radiation, 56Fe ions, protons, osteoblastogenesis, bone loss, skeletal health, oxidative stress, redox-related genes, cancellous bone, osteoblasts, mice, astronauts, spaceflight, galactic cosmic-rays, reactive oxygen species, superoxide dismutase, gene expression, mineralized nodules, dose","High doses (200 cGy) of space radiation, especially high-LET heavy ions such as 56Fe, cause persistent cancellous bone loss and inhibit osteoblastogenesis by more than 90% in mouse models, effects that persist up to one year after exposure and are more severe than those produced by low-LET protons. Doses below 50 cGy showed no detectable effects on bone structure, but the limited ability of exogenous antioxidants to mitigate heavy ion damage suggests that specific countermeasures and risk models that consider radiation quality are needed to protect the skeletal health of astronauts on long-duration missions.",9
From the bench to exploration medicine: NASA life sciences translational research for human exploration and habitation missions.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5460236/,"Translational research, NASA, Human spaceflight, Astronaut health, Countermeasures, Space Biology, Human Research Program, International Space Station, Exploration Class missions, Spaceflight risks, Basic research, Applied research, Medical operations, Decadal Survey, NIH, Microgravity, Space radiation","NASA is actively implementing a coordinated translational research framework, linking fundamental discoveries in space biology with the applied development of countermeasures and their operational deployment, which represents a key element of the agency's strategy. This two-way approach is crucial to addressing the significant health challenges of long-duration human missions beyond low-Earth orbit, including the effects of microgravity, radiation, and visual impairment. Practical implications include an acceleration in the development and application of solutions that improve crew safety and resilience, optimize planning for future exploration missions, leverage the International Space Station as a research platform, and foster synergies between NASA's scientific and operational programs, supported by the creation of a Translational Research Institute.",9
High-precision method for cyclic loading of small-animal vertebrae to assess bone quality.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6222041/,"Fatigue, Bone mechanics, Mouse, Vertebrae, Bone quality, Cyclic loading, Biomechanical testing, Precision, Finite element analysis, Micro-CT, Stiffness, Strain, Fatigue life, Specimen preparation, Loading plates, Machine compliance, Ex vivo, Small animals, Osteoporosis, Fracture risk, Statistical power","This paper describes the development of a new and accurate method for ex vivo cyclic compressive loading of isolated mouse vertebral bodies, aiming to improve bone quality assessment in small animals. Existing methods are challenged by small bone size and machine compliance, which introduces variability in results. The new technique features the use of 3D-printed support templates to machine plane-parallel surfaces, pivoting loading platens to ensure uniform contact, and specimen-specific micro-CT-based finite element analysis, allowing stiffness measurements and prescribing force levels that produce the same level of deformation. When comparing the new method with two common techniques in the literature on mouse L5 vertebrae, a significant reduction in dispersion in mechanical behavior was demonstrated, with a fatigue life standard deviation up to five times lower. This increased precision facilitates a better understanding of bone quality and optimizes statistical power in animal experiments.",8
Effects of ex vivo ionizing radiation on collagen structure and whole-bone mechanical properties of mouse vertebrae.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6813909/,"ionizing radiation, bone, collagen, bone strength, fatigue, collagen fragmentation, non-enzymatic collagen crosslinking, radiation doses, sterilization, radiotherapy, bone allografts, ex vivo, mouse vertebrae, fracture, AGEs, micro-CT, electrophoresis","An ex vivo study in mouse vertebrae examined the mechanism behind ionizing radiation-induced bone weakening, focusing on whether it is caused by collagen fragmentation or non-enzymatic cross-linking. Bone samples were exposed to various doses of X-rays (from 0 to 35,000 Gy), and the compressive mechanical properties and biochemical changes of collagen were measured. The findings indicated that the reduction in bone strength and fatigue life was only significant at high doses (17,000 and 35,000 Gy), which coincided with the onset of collagen fragmentation. Although nonenzymatic collagen crosslinking increased at all radiation doses, changes in mechanical properties were most consistently correlated with collagen fragmentation. It is concluded that the deterioration in bone strength and fatigue life due to ionizing radiation is more likely a consequence of collagen backbone fragmentation than of increased nonenzymatic crosslinking.",8
